index,latitude,longitude,area(m²),bioma
0,4.375,-60.335,3682240.414160808,Amazonia
1,4.29,-60.985,2455100.845286741,Amazonia
2,4.275,-60.965,3682713.733931237,Amazonia
3,4.26,-60.905,7365583.10484862,Amazonia
4,3.98,-60.605,2456035.764025869,Amazonia
5,3.14,-60.005,2458217.17364373,Amazonia
6,3.098333,-60.32166700000001,9833221.49066349,Amazonia
7,2.49,-60.305,2459552.1700277524,Amazonia
8,-6.58,-51.11,1223014.0113772505,Amazonia
9,-8.31,-55.105,2436648.202945291,Amazonia
10,-9.16,-61.41,6078113.276942825,Amazonia
11,-9.366429,-56.565,3644779.086088685,Amazonia
12,-9.57,-57.41,1214226.2433549373,Amazonia
13,-9.6,-50.42,1214121.682717341,Amazonia
14,-9.92,-50.61,1212986.156088956,Amazonia
15,-9.93,-50.62,1212950.075480186,Amazonia
16,-9.93,-50.61,1212950.075479091,Amazonia
17,-9.93,-50.595,2425900.1509603723,Amazonia
18,-9.94,-50.61,1212913.9587943451,Amazonia
19,-10.715,-52.275,3630035.193201645,Amazonia
20,-10.745,-53.78,2419776.5946180583,Amazonia
21,-10.885,-54.62,2418676.5325555387,Amazonia
22,-11.15,-54.745,2416555.6577810203,Amazonia
23,-11.155,-54.66,2416515.1464557983,Amazonia
24,-11.141667,-52.220556,6041591.449309138,Amazonia
25,-11.16,-52.21,1208237.3175663834,Amazonia
26,-11.21,-52.24,1208034.221484065,Amazonia
27,-11.22,-52.25,1207993.4943820557,Amazonia
28,-11.3,-52.235,2415332.76617851,Amazonia
29,-11.34,-54.54,1207501.9645613295,Amazonia
30,-11.41,-52.085,2414425.6963271117,Amazonia
31,-11.46,-58.78,1207005.2581852793,Amazonia
32,-11.505,-52.08,2413635.309126377,Amazonia
33,-11.52,-52.07,1206754.9643117248,Amazonia
34,-11.57,-51.995,2413090.795950004,Amazonia
35,-11.585,-54.705,3619426.01683991,Amazonia
36,-11.64,-55.66,1206250.4962483014,Amazonia
37,-11.68,-52.505,2412162.381471198,Amazonia
38,-11.715,-55.095,4823730.2901331065,Amazonia
39,-11.725,-54.415,3617648.8120996426,Amazonia
40,-11.735,-54.9,2411694.9057908854,Amazonia
41,-11.75,-54.88,1205783.523394015,Amazonia
42,-11.746429,-52.765,3617393.2018180345,Amazonia
43,-11.805,-54.715,4822193.612269323,Amazonia
44,-11.9,-54.08,1205139.7404179457,Amazonia
45,-11.935,-52.65,2409976.7154873065,Amazonia
46,-11.97,-52.8,1204836.5443952864,Amazonia
47,-11.98,-54.31,1204793.087127875,Amazonia
48,-11.99,-54.33,1204749.5939728743,Amazonia
49,-12.03,-54.345,2409150.5250590984,Amazonia
50,-12.056429,-57.795,3613376.1559331343,Amazonia
51,-12.095,-54.4,2408581.490162048,Amazonia
52,-12.1975,-51.605,6019228.172024301,Amazonia
53,-12.23,-54.465,2407389.990963933,Amazonia
54,-12.255,-54.5,2407167.8978223745,Amazonia
55,-12.28,-52.8,1203472.687202162,Amazonia
56,-12.32,-54.5,1203294.1952014777,Amazonia
57,-12.395,-52.61,2405915.9445143025,Amazonia
58,-12.46,-56.505,2405329.913165717,Amazonia
59,-12.46,-52.005,2405329.913165717,Amazonia
60,-12.480714,-51.88071400000001,9620550.577629048,Amazonia
61,-12.49,-56.46,1202529.2058436545,Amazonia
62,-12.61,-54.55,1201982.9783235071,Amazonia
63,-12.62,-54.54,1201937.2265164806,Amazonia
64,-12.635,-57.3,2403737.0543353404,Amazonia
65,-12.651364,-57.682273,7210706.711171201,Amazonia
66,-12.650385,-51.974231,7210752.606243816,Amazonia
67,-12.67,-51.97,1201707.9302277265,Amazonia
68,-12.76,-57.725,2402585.881628109,Amazonia
69,-12.805,-51.89,2402168.708152432,Amazonia
70,-12.83,-56.835,2401936.3325582296,Amazonia
71,-12.85,-56.84,1200875.0513828294,Amazonia
72,-12.86,-54.15,1200828.4402440446,Amazonia
73,-12.88,-51.93,1200735.110590667,Amazonia
74,-12.9,-52.745,4802566.515351232,Amazonia
75,-12.91,-52.73,1200594.8476973672,Amazonia
76,-12.95,-57.26,1200407.329500247,Amazonia
77,-12.96,-57.25,1200360.3604943105,Amazonia
78,-12.991667,-52.785,6001048.9745203415,Amazonia
79,-12.985,-52.06,2400485.553935564,Amazonia
80,-12.99,-52.605,2400438.477587772,Amazonia
81,-13.005,-52.585,3600422.084213788,Amazonia
82,-13.01,-54.18,1200124.9787706872,Amazonia
83,-13.015,-53.13,4800405.547734125,Amazonia
84,-13.031667,-52.685,6000200.061910743,Amazonia
85,-13.04,-57.27,1199983.320425611,Amazonia
86,-13.05,-57.26,1199936.0294313496,Amazonia
87,-13.1,-53.075,2399398.0758410725,Amazonia
88,-13.14,-53.4875,8396561.535003427,Amazonia
89,-13.135,-57.0,4798130.429508517,Amazonia
90,-13.17,-53.66,3598097.243096597,Amazonia
91,-13.176429,-53.965,3598001.731242076,Amazonia
92,-13.19,-54.57,1199270.2000867277,Amazonia
93,-13.186429,-52.555,3597858.3919436014,Amazonia
94,-13.2,-54.58,1199222.3726493441,Amazonia
95,-13.2,-52.85,3597667.1179491268,Amazonia
96,-13.231818,-54.073182,25181082.4245388,Amazonia
97,-13.215,-52.440714,4796650.138882275,Amazonia
98,-13.235,-52.7,2398109.38117682,Amazonia
99,-13.24,-52.725,2398061.410726855,Amazonia
100,-13.25,-53.665,2397965.3983343258,Amazonia
101,-13.265,-52.9,2397821.2367471904,Amazonia
102,-13.286667,-54.315,8391676.522892179,Amazonia
103,-13.29,-54.11,1198790.3169048692,Amazonia
104,-13.29,-53.04,1198790.3169026785,Amazonia
105,-13.309,-53.797,7192211.617007388,Amazonia
106,-13.311667000000002,-52.795,4794727.353057556,Amazonia
107,-13.31,-61.465,2397387.822603895,Amazonia
108,-13.31,-54.95,1198693.9113019474,Amazonia
109,-13.33,-53.955,2397194.725473655,Amazonia
110,-13.33,-53.81,1198597.3627379227,Amazonia
111,-13.355,-53.575,3595453.6142733474,Amazonia
112,-13.365,-54.44,2396856.1085896557,Amazonia
113,-13.37,-53.59,1198403.8367440882,Amazonia
114,-13.376429000000002,-54.215,3595114.568553136,Amazonia
115,-13.395,-56.555,4793130.352725313,Amazonia
116,-13.405,-53.795,4792936.112042061,Amazonia
117,-13.455,-57.44,2395981.382441971,Amazonia
118,-13.465,-56.96,2395883.8333714693,Amazonia
119,-13.47,-53.835,2395835.0409712824,Amazonia
120,-13.48,-54.47,1197868.6923621555,Amazonia
121,-13.49,-54.46,1197819.8285175613,Amazonia
122,-13.49,-53.735,2395639.6570351226,Amazonia
123,-13.545,-56.745,4790201.737689836,Amazonia
