id,latitude,longitude,area(m²),bioma
364,4.15,-60.41,3683297.6017311136,Amazonia
365,4.085,-61.19,2455726.928352748,Amazonia
370,3.435,-61.3,2457509.659679936,Amazonia
372,3.225,-61.175,4916039.625868036,Amazonia
373,3.1075,-61.12,7374856.636010784,Amazonia
374,2.73,-61.38,1229547.5618876743,Amazonia
375,2.55,-61.45,1229720.9232510994,Amazonia
376,2.033571,-60.850714,6150762.029966217,Amazonia
404,-6.575,-51.08,2446051.976099483,Amazonia
405,-6.58,-51.12,1223014.0113772505,Amazonia
475,-7.91,-61.53,1219504.8926490915,Amazonia
527,-8.48,-61.615,2435609.446941278,Amazonia
555,-8.69,-48.7,1217148.7000456671,Amazonia
610,-9.33,-51.82,1215051.0285199475,Amazonia
614,-9.4,-50.64,1214812.6150989407,Amazonia
615,-9.41,-50.66,1214778.411555895,Amazonia
620,-9.445,-50.621666999999995,6073309.225097679,Amazonia
622,-9.471667,-50.495,6072896.543376708,Amazonia
650,-9.63,-50.575,2428033.5943056257,Amazonia
653,-9.646429,-65.740714,6069803.605015198,Amazonia
667,-9.875,-53.705,4852592.27146013,Amazonia
670,-9.925,-59.02,2425936.231569142,Amazonia
673,-9.97,-51.59,1212805.392294111,Amazonia
680,-10.026428999999998,-55.535,3637798.297426188,Amazonia
682,-10.055,-54.36833299999999,6062461.82398929,Amazonia
686,-10.125,-52.76,2424478.579050335,Amazonia
692,-10.15,-52.09,1212147.176452421,Amazonia
695,-10.19,-52.1675,10907956.749842493,Amazonia
709,-10.355,-52.365,8479626.605508931,Amazonia
710,-10.346428999999999,-50.765,3634243.9674983374,Amazonia
720,-10.415,-50.96,2422313.7468263586,Amazonia
743,-10.525,-52.415,3632195.997817509,Amazonia
749,-10.55,-68.72,1210642.6560834514,Amazonia
750,-10.555,-58.818332999999996,6053098.225344242,Amazonia
755,-10.58,-52.45,1210527.4929511796,Amazonia
761,-10.586905,-52.402619,22999329.838421416,Amazonia
777,-10.665,-55.625,3630578.9237271487,Amazonia
782,-10.688636,-52.032272999999996,9680741.890967747,Amazonia
784,-10.717222,-52.326111,12099779.791378925,Amazonia
794,-10.775,-56.218332999999994,6048835.565512118,Amazonia
812,-10.866429,-59.080714,6047066.636502996,Amazonia
813,-10.87,-54.215,2418795.0802710624,Amazonia
819,-10.901,-56.075,9674310.479281742,Amazonia
820,-10.905,-52.245,3627797.1494243806,Amazonia
823,-10.925,-58.965,4836719.275032438,Amazonia
824,-10.92,-51.995,2418399.3213710627,Amazonia
841,-11.05,-56.31,10878128.56641804,Amazonia
844,-11.06,-56.39,1208640.812198067,Amazonia
845,-11.065,-52.4,9668965.67527763,Amazonia
849,-11.085,-51.94,2417080.54254448,Amazonia
852,-11.09,-57.435,2417040.283007401,Amazonia
863,-11.15,-56.84,1208277.8288927006,Amazonia
864,-11.15,-55.72,1208277.8288916054,Amazonia
868,-11.16,-55.73,1208237.3175674786,Amazonia
871,-11.175,-52.75,2416352.957303353,Amazonia
876,-11.18,-56.07,1208156.1870231642,Amazonia
878,-11.19,-56.08,1208115.5678051673,Amazonia
