id,latitude,longitude,area(m²),bioma
2051,-2.925,-41.405,4917385.673881569,Caatinga
2052,-2.92,-40.14,1229351.7536048105,Caatinga
2054,-2.93,-40.465,2458682.166669758,Caatinga
2055,-2.93,-40.155,2458682.166669758,Caatinga
2059,-2.94,-40.105,2458660.753217826,Caatinga
2063,-2.95,-41.16,1229319.6334269135,Caatinga
2064,-2.95,-40.93,1229319.6334269135,Caatinga
2065,-2.955,-40.865,7375874.682012632,Caatinga
2070,-2.9610000000000003,-40.139,11063757.97901176,Caatinga
2073,-2.977,-41.105,13522223.823875727,Caatinga
2085,-2.985,-41.625,3687839.777461283,Caatinga
2086,-2.985,-41.465,4917126.962614754,Caatinga
2090,-2.99,-41.595,2458552.592310003,Caatinga
2091,-2.99,-41.16,1229276.2961550015,Caatinga
2095,-3.0,-41.665,2458530.7414009958,Caatinga
2096,-3.0,-41.15,1229265.3707004976,Caatinga
2097,-3.005,-41.08,2458519.7794904574,Caatinga
2098,-3.0,-40.015,2458530.7414009958,Caatinga
2102,-3.02,-41.75,1229243.4104310542,Caatinga
2103,-3.016429,-41.615,3687741.229654258,Caatinga
2104,-3.01625,-41.19875,4916984.640086408,Caatinga
2105,-3.02,-40.435,2458486.8208621084,Caatinga
2106,-3.025,-40.338333,6146183.947711548,Caatinga
2111,-3.021923,-41.415769,13521710.254661122,Caatinga
2112,-3.03,-41.32,1229232.37561721,Caatinga
2114,-3.04,-41.34,1229221.304349522,Caatinga
2115,-3.04,-41.31,1229221.304350617,Caatinga
2119,-3.05,-41.45,1229210.1966301813,Caatinga
2120,-3.05,-41.35,1229210.1966301813,Caatinga
2121,-3.05,-41.3,1229210.1966290858,Caatinga
2122,-3.0464290000000003,-41.210714,6146073.198592872,Caatinga
2127,-3.065,-41.475,9833547.624257697,Caatinga
2128,-3.06,-41.385,2458398.104918374,Caatinga
2129,-3.06,-41.235,2458398.104918374,Caatinga
2130,-3.06,-40.02,3687597.157372085,Caatinga
2131,-3.065,-39.96,2458386.924292441,Caatinga
2140,-3.071552,-41.379138,33187914.26106312,Caatinga
2141,-3.07,-41.14,1229187.8718321586,Caatinga
2142,-3.07,-40.0,1229187.8718321586,Caatinga
2143,-3.07,-39.87,3687563.6154942857,Caatinga
2150,-3.085,-41.675,3687518.7107421462,Caatinga
2151,-3.08,-41.43,1229176.6547578585,Caatinga
2152,-3.08,-41.265,2458353.309515717,Caatinga
2153,-3.08,-41.15,1229176.6547578585,Caatinga
2154,-3.08,-41.12,1229176.654756763,Caatinga
2155,-3.085,-40.96,2458342.055987573,Caatinga
2156,-3.088333,-40.895,4916672.821990968,Caatinga
2157,-3.076429,-40.685,3687541.181345685,Caatinga
2158,-3.08,-39.97,1229176.654756763,Caatinga
2165,-3.086429,-41.495,3687507.4572161925,Caatinga
2166,-3.095,-41.31,4916650.31493468,Caatinga
2167,-3.09,-41.245,2458330.8024572385,Caatinga
2168,-3.095,-41.11,2458319.5124752508,Caatinga
2169,-3.095,-40.53,2458319.5124796317,Caatinga
2170,-3.095,-39.95,2458319.5124752508,Caatinga
2176,-3.105,-41.475,3687451.007315017,Caatinga
2177,-3.105,-41.438333,4916605.118562744,Caatinga
2178,-3.1,-41.26,1229154.1112488222,Caatinga
