id,latitude,longitude,area(m²),bioma
3895,-4.625,-43.165,4908023.679310787,Cerrado
3920,-7.46,-44.33,1220763.994784485,Cerrado
3921,-7.47,-44.34,1220736.8121807522,Cerrado
3923,-7.745,-46.465,3659939.339318096,Cerrado
3924,-7.87,-46.52,1219619.7844152842,Cerrado
3925,-7.955,-47.0,2438749.88404223,Cerrado
3926,-8.03,-45.96,1219156.739626667,Cerrado
3927,-8.045,-45.97,2438225.6984438417,Cerrado
3928,-8.045,-44.675,3657353.189873465,Cerrado
3934,-8.335,-45.145,3654729.95440459,Cerrado
3935,-8.37,-46.07,1218141.9860291237,Cerrado
3936,-8.38,-46.19,1218111.5067604904,Cerrado
3937,-8.38,-46.06,1218111.5067626808,Cerrado
3938,-8.39,-46.18,1218080.9913041636,Cerrado
3939,-8.48,-46.11,1217804.7234684485,Cerrado
3940,-8.49,-46.1,1217773.8460902835,Cerrado
3945,-8.791,-46.269,6084121.46831557,Cerrado
3947,-9.06,-46.17,3647862.082688693,Cerrado
3948,-9.31,-48.01,1215118.8215324278,Cerrado
3951,-9.41,-49.505,2429556.8231139816,Cerrado
4031,-13.02,-55.335,4800311.144608533,Cerrado
4033,-13.04,-57.81,1199983.320425611,Cerrado
4034,-13.04,-51.55,1199983.3204245158,Cerrado
4035,-13.05,-57.82,1199936.0294302544,Cerrado
4036,-13.07,-58.95,1199841.3401316395,Cerrado
4041,-13.23,-44.975,2398157.351622404,Cerrado
4047,-13.34,-45.425,2397098.069693732,Cerrado
4048,-13.415,-57.68,2396370.864219663,Cerrado
4056,-13.74,-54.795,2393173.25213949,Cerrado
4059,-13.91,-58.695,2391470.6105595683,Cerrado
4060,-13.98,-55.985,2390763.5293114297,Cerrado
4061,-14.2,-55.17,1194259.262227847,Cerrado
4062,-14.21,-55.16,1194207.829464473,Cerrado
4063,-14.3,-58.9,5968716.584515093,Cerrado
4065,-14.465,-59.25,2385768.505050889,Cerrado
4066,-14.51,-59.26,1192648.2814714368,Cerrado
4067,-14.73,-52.695,2382968.4969195323,Cerrado
4068,-15.06,-53.37,1189705.9220959663,Cerrado
4069,-15.07,-53.38,1189651.429185592,Cerrado
4070,-15.349,-53.363,9504945.08068202,Cerrado
4072,-15.66,-51.72,1186373.50744563,Cerrado
4073,-15.67,-51.73,1186316.8851688022,Cerrado
4076,-15.89,-51.79,1185062.2288371937,Cerrado
4077,-15.98,-51.385,2369088.037071196,Cerrado
4079,-16.2,-42.81,1183265.2105221895,Cerrado
4081,-16.29,-48.405,2365474.2518575336,Cerrado
4083,-16.9,-51.32,1179082.4361871565,Cerrado
4084,-16.91,-51.33,1179021.4287669314,Cerrado
4087,-17.223,-50.141000000000005,8239788.894449289,Cerrado
4090,-17.355,-50.29,2352541.807113937,Cerrado
4091,-17.385,-42.845,4704331.8601114135,Cerrado
4093,-17.47,-50.57,1175548.7564017277,Cerrado
4094,-17.487000000000002,-50.383,15280873.060282433,Cerrado
4096,-17.48,-50.58,1175485.7406302444,Cerrado
4100,-17.525,-54.93,2350403.4595673718,Cerrado
4103,-17.575,-45.485,4699541.325780397,Cerrado
4104,-17.62,-50.51,1174599.8254285306,Cerrado
4105,-17.635,-50.525,3523545.2672026367,Cerrado
4106,-17.65,-50.51,1174409.089483939,Cerrado
4107,-17.650454999999997,-50.451364,7046454.501747685,Cerrado
4108,-17.675,-50.44,2348499.793417276,Cerrado
4109,-17.675,-49.745,3522781.549779801,Cerrado
4115,-17.84,-50.665,2346387.4946726128,Cerrado
4117,-17.85,-50.65,1173129.4305066292,Cerrado
4120,-17.881667,-50.035,5864745.7331698965,Cerrado
4122,-17.990714,-50.545,5861061.653442076,Cerrado
4123,-18.01,-49.84,1172095.5839612202,Cerrado
4124,-18.02,-50.16,8204214.620150479,Cerrado
4125,-18.02,-49.85,1172030.6700532238,Cerrado
4127,-18.056429,-49.440714,5858983.425413881,Cerrado
4128,-18.17,-52.87,1171052.7492920277,Cerrado
4129,-18.142585999999998,-52.856724,40994300.04139884,Cerrado
4130,-18.18625,-50.25875,4683752.563733214,Cerrado
4131,-18.23,-50.095,2341318.7406880367,Cerrado
4132,-18.275,-50.058333000000005,5851850.428470314,Cerrado
4134,-18.285,-47.678333,5851455.365970926,Cerrado
4136,-18.356111,-49.889444,4679276.978420932,Cerrado
4137,-18.37,-49.535,2339473.152313583,Cerrado
4139,-18.4,-52.785,2339075.8810768723,Cerrado
4140,-18.39625,-51.24875,4678218.009076603,Cerrado
4142,-18.42,-47.135,2338810.6830959483,Cerrado
4144,-18.455,-52.035,3507485.6262849923,Cerrado
4145,-18.45,-49.76,1169206.1802234196,Cerrado
4146,-18.46,-49.77,1169139.7230318815,Cerrado
4147,-18.49,-49.965,2337880.2824582267,Cerrado
4148,-18.49,-49.27,1168940.1412302088,Cerrado
4149,-18.5,-52.045,2337747.0877826284,Cerrado
4150,-18.5,-50.605,2337747.087784819,Cerrado
4151,-18.5,-49.28,1168873.543893505,Cerrado
4153,-18.51,-49.975,2337613.823044852,Cerrado
4155,-18.54,-49.415,2337213.6084628347,Cerrado
4157,-18.645,-51.885,9343231.39710082,Cerrado
4158,-18.645,-51.095,3503745.3877588264,Cerrado
4161,-18.83,-49.545,2333312.376152229,Cerrado
4162,-18.88,-50.26,1166316.9005960443,Cerrado
4163,-18.89,-50.27,1166248.9381826636,Cerrado
4164,-18.89,-49.805,2332497.8763653273,Cerrado
4166,-18.94,-50.93,1165908.6015946418,Cerrado
4167,-18.95,-50.92,1165840.4293846427,Cerrado
4168,-18.961667000000002,-49.545,4663020.611790111,Cerrado
4169,-18.965,-48.665,3497248.4245319744,Cerrado
4170,-19.02,-51.02,1165362.2451448843,Cerrado
4171,-19.035,-51.035,3495812.8931393167,Cerrado
4172,-19.065,-48.79,2330107.864615619,Cerrado
4173,-19.054412,-50.841471000000006,13981607.016073765,Cerrado
4174,-19.085,-50.45,4659666.716782231,Cerrado
4176,-19.13,-54.66,9317133.890155517,Cerrado
4177,-19.14,-50.995,2329077.033916859,Cerrado
4178,-19.15,-54.65,1164469.6458681286,Cerrado
4179,-19.15,-48.79,1164469.6458681286,Cerrado
4180,-19.16,-48.8,1164400.739850789,Cerrado
4181,-19.185,-50.585,4656913.270604407,Cerrado
4182,-19.22,-54.68,1163986.5703862822,Cerrado
4183,-19.235,-54.69,2327765.654481229,Cerrado
4185,-19.355,-50.745,3489185.0708151213,Cerrado
4187,-19.626429,-54.595,3483438.9171478883,Cerrado
4188,-19.741667,-54.001667000000005,8122411.34972843,Cerrado
4189,-19.795,-50.795,3479825.6891787,Cerrado
4190,-19.815,-54.45,4639245.629573953,Cerrado
