datahora,diasemchuva,precipitacao,riscofogo,latitude,longitude
2018/07/12 10:07:23,42,0.0,1.0,-16.243401000000002,-59.10716600000001
2018/07/05 17:12:00,34,0.0,,-15.65365,-55.98526999999999
2018/07/27 17:00:00,13,0.0,,-18.26097,-56.78314
2018/07/15 04:54:00,33,0.0,1.0,-19.1748,-55.27701999999999
2018/07/15 04:54:00,33,0.0,1.0,-18.340139999999998,-55.783280000000005
2018/07/24 05:24:00,10,0.0,0.87,-19.05401,-57.66701
2018/07/01 13:45:00,22,0.0,1.0,-17.49,-55.215
2018/07/01 04:12:00,19,0.0,0.85,-16.3135,-56.679790000000004
2018/07/01 16:42:00,22,0.0,0.85,-17.49363,-55.219409999999996
2018/07/01 16:42:00,22,0.0,0.85,-17.493029999999997,-55.21423000000001
2018/07/01 16:42:00,22,0.0,1.0,-17.48895,-55.21986999999999
2018/07/01 16:48:00,30,0.0,1.0,-16.25381,-56.245
2018/07/01 16:48:00,30,0.0,1.0,-16.25315,-56.23935
2018/07/01 23:31:14,19,0.0,1.0,-16.310881,-56.707595999999995
2018/07/01 23:31:14,19,0.0,1.0,-16.312464000000002,-56.719193000000004
2018/07/01 01:45:41,19,0.0,1.0,-16.3032,-56.675499
2018/07/01 13:45:00,22,0.0,0.85,-17.492,-55.203
2018/07/02 16:24:00,20,0.0,1.0,-19.25625,-55.5765
2018/07/02 18:06:00,4,0.13,0.77,-20.04315,-57.536319999999996
2018/07/02 05:36:00,20,0.0,0.86,-16.31569,-56.67581
2018/07/02 05:36:00,20,0.0,0.86,-16.310389999999998,-56.6752
2018/07/02 16:24:00,20,0.0,1.0,-19.26515,-55.57489
2018/07/02 16:24:00,20,0.0,1.0,-19.26238,-55.570040000000006
2018/07/02 16:24:00,20,0.0,1.0,-19.25906,-55.58133
2018/07/02 16:24:00,20,0.0,1.0,-19.25245,-55.58191
2018/07/02 18:06:00,4,0.13,0.77,-20.04232,-57.532509999999995
2018/07/02 18:06:00,5,0.08,1.0,-19.83757,-57.3042
2018/07/02 18:06:00,5,0.0,1.0,-19.66199,-55.67691
2018/07/02 18:06:00,4,0.0,1.0,-19.355220000000003,-57.78558
2018/07/02 18:06:00,20,0.0,0.75,-19.23911,-55.38871999999999
2018/07/02 18:06:00,20,0.0,0.74,-19.23281,-55.39026
2018/07/02 23:19:30,20,0.0,1.0,-16.305994000000002,-56.726870999999996
2018/07/02 23:19:30,20,0.0,1.0,-16.308207,-56.744839
2018/07/02 01:25:18,20,0.0,0.86,-16.3155,-56.668597999999996
2018/07/02 17:10:00,20,0.0,1.0,-19.269000000000002,-55.568999999999996
2018/07/02 17:10:00,20,0.0,1.0,-19.26,-55.583
2018/07/02 17:10:00,20,0.0,1.0,-19.259,-55.57
2018/07/02 17:10:00,20,0.0,0.74,-19.237000000000002,-55.393
2018/07/03 17:48:00,5,1.13,0.91,-19.77295,-57.08002
2018/07/03 17:48:00,21,0.0,0.71,-19.43575,-55.63211
2018/07/03 05:18:00,21,0.0,1.0,-19.27637,-55.55777
2018/07/03 05:18:00,21,0.0,1.0,-19.275270000000003,-55.558980000000005
2018/07/03 05:18:00,21,0.0,0.88,-16.3149,-56.6753
2018/07/03 05:18:00,21,0.0,0.88,-16.311020000000003,-56.67475
2018/07/03 17:48:00,6,0.0,1.0,-20.20455,-56.031119999999994
2018/07/03 17:48:00,5,1.13,0.43,-19.77717,-57.07914
2018/07/03 17:48:00,21,0.0,0.71,-19.434839999999998,-55.63601
2018/07/03 17:48:00,21,0.0,0.71,-19.43385,-55.63089
