id,latitude,longitude,area(m²),bioma
5237,-29.83,-51.52,1071364.6296214464,Pampa
5241,-30.19,-54.985,2135123.059828937,Pampa
5242,-30.37,-52.55,1065644.1659295082,Pampa
5244,-30.445,-54.915,4259368.615792769,Pampa
5246,-30.61,-53.03,1063071.316355881,Pampa
5251,-31.06,-55.26,1058196.9392578495,Pampa
5252,-31.086429,-50.845,3173718.0881679305,Pampa
5253,-31.37,-53.7,1054800.989600681,Pampa
5254,-31.4,-53.71,1054470.7059439828,Pampa
5255,-31.41,-53.73,1054360.5470132888,Pampa
5256,-31.39125,-53.7175,17927323.296665926,Pampa
