id,latitude,longitude,area(m²),bioma
3866,-15.99,-55.89,1184486.2625598954,Pantanal
3872,-16.0,-55.88,1184428.471179617,Pantanal
3924,-16.19,-55.81,1183323.7097245476,Pantanal
3928,-16.2,-55.8,1183265.2105221895,Pantanal
3956,-16.29,-56.26,1182737.1259276716,Pantanal
3959,-16.3,-56.25,1182678.2730245658,Pantanal
3993,-16.425,-55.635,3545789.215868035,Pantanal
3995,-16.43,-56.75,1181909.967785345,Pantanal
4006,-16.505,-55.696429,10633026.808137998,Pantanal
4014,-16.525,-55.745,3544004.3629026134,Pantanal
4016,-16.54,-57.1,1181255.1977875012,Pantanal
4017,-16.54,-55.68,1181255.197786406,Pantanal
4019,-16.55,-55.67,1181195.461243138,Pantanal
4044,-16.661667,-57.215,5902740.229525083,Pantanal
4442,-17.61,-55.89,1174663.333740367,Pantanal
4444,-17.6275,-55.87,7047217.621367134,Pantanal
4447,-17.63,-55.895,2349072.5638995827,Pantanal
4455,-17.66,-55.85,3523036.321513478,Pantanal
4466,-17.678333,-55.325,4696935.832367541,Pantanal
4469,-17.695,-55.34,2348244.7755503305,Pantanal
4544,-17.87,-55.245,2346001.382885901,Pantanal
4550,-17.883182,-55.283182,10556104.030743333,Pantanal
4585,-18.015,-55.7525,5860348.091992299,Pantanal
4586,-18.012273,-55.660455000000006,5860412.970787061,Pantanal
4602,-18.03,-55.765,2343931.442068368,Pantanal
4635,-18.105,-55.66,2342954.960197323,Pantanal
4641,-18.12,-55.65,1171379.6002590621,Pantanal
4646,-18.135,-55.59,2342563.2653899468,Pantanal
4683,-18.301364000000003,-56.045908999999995,8191457.687597467,Pantanal
4720,-18.395714,-55.222857,14034985.016507095,Pantanal
4727,-18.42,-55.195,2338810.6830959483,Pantanal
4733,-18.445,-56.96,2338478.7825963357,Pantanal
4761,-18.54,-55.43,1168606.8042314174,Pantanal
4763,-18.55,-55.42,1168540.0317480306,Pantanal
4767,-18.565,-56.365,4673759.211895661,Pantanal
4775,-18.601667000000003,-55.283889,23364246.144630976,Pantanal
4783,-18.596429,-56.605,3504683.879552934,Pantanal
4784,-18.6,-55.285,2336411.2879748624,Pantanal
4796,-18.743333,-55.495,9337780.07528321,Pantanal
4803,-18.779545000000002,-56.310455000000005,5834972.970352086,Pantanal
4822,-18.866429,-55.440714,5832059.925154865,Pantanal
4825,-18.8925,-55.365,5831108.626207542,Pantanal
4829,-18.91,-57.195,2332225.816888899,Pantanal
4830,-18.92,-56.898332999999994,9328426.72639045,Pantanal
4831,-18.925,-55.48,6996064.7398974635,Pantanal
4832,-18.916,-55.427,8162381.955188435,Pantanal
4848,-18.96,-55.525,2331544.444438257,Pantanal
4856,-19.0175,-55.41,6992173.4009911325,Pantanal
4863,-19.05,-55.43,3495470.354374633,Pantanal
4888,-19.16,-55.51,3493202.2195523675,Pantanal
4890,-19.175,-55.28,2328594.6219578357,Pantanal
4899,-19.268333,-55.92166700000001,8145552.503161328,Pantanal
4903,-19.275,-56.935,4654423.22590759,Pantanal
4908,-19.270332999999997,-55.57966700000001,15127256.457601188,Pantanal
4914,-19.3,-55.925,2326864.778494157,Pantanal
4925,-19.336429000000003,-56.505,3489532.917354946,Pantanal
4929,-19.38,-56.04,1162875.9743918418,Pantanal
4930,-19.377,-55.971000000000004,8140480.086007406,Pantanal
4932,-19.396110999999998,-56.02944399999999,4651015.830824548,Pantanal
4933,-19.4,-55.98,1162736.5217677185,Pantanal
4934,-19.41,-56.665,2325333.4862441057,Pantanal
4936,-19.43,-56.46,1162527.081186515,Pantanal
4938,-19.451667,-56.478333,13948647.25217084,Pantanal
4984,-19.78,-57.08,1160060.424633077,Pantanal
5033,-20.073182,-56.660455000000006,9263513.791632792,Pantanal
5064,-20.315,-57.26,2312415.1040534345,Pantanal
5093,-20.42,-57.055,2310879.4183085584,Pantanal
5130,-20.525,-57.37,2309336.0619446547,Pantanal
5131,-20.525,-57.345,3464040.9303622213,Pantanal
5139,-20.55,-57.36,1154483.7396517468,Pantanal
5142,-20.56,-57.375,2308819.92136882,Pantanal
5440,-21.32,-57.465,2297402.8136490392,Pantanal
5525,-21.575,-57.86833299999999,8027227.660212398,Pantanal
5543,-21.605,-57.871667,8025525.760492234,Pantanal
5622,-21.81,-57.52,1144915.0470548477,Pantanal
5626,-21.82,-57.51,1144836.9123247087,Pantanal
5632,-21.845,-57.61,2289282.8409466418,Pantanal
5645,-21.87,-57.625,2288891.443895856,Pantanal
