,latitude,longitude,bioma,area(m²),diasemchuva,precipitacao,riscofogo
0,-1.785,-55.335,Amazonia,4921303.544452358,0.0,0.4,0.09
1,-1.99,-48.935,Amazonia,2460369.4211636567,0.0,0.4,
2,-2.44,-49.13,Amazonia,1229821.0503475445,0.0,0.4,
3,-2.66,-48.96,Amazonia,1229616.3839865855,0.0,0.4,
4,-2.805,-47.6,Amazonia,2458943.6736943587,0.0,0.4,
5,-3.11,-49.0,Amazonia,1229142.784816277,0.0,0.4,
6,-3.12,-48.99,Amazonia,1229131.4219375546,0.0,0.4,
7,-3.205,-47.86,Amazonia,2458066.7224372663,0.0,0.4,
8,-3.2194439999999998,-47.548333,Amazonia,7374082.9300069725,0.0,0.4,
9,-3.34,-47.67,Amazonia,6144361.048569501,0.0,0.4,
10,-3.385,-47.115,Amazonia,4915268.080588235,0.0,0.4,
11,-3.42,-47.01,Amazonia,1228773.5871497171,0.0,0.4,
12,-4.0,-47.9,Amazonia,1227988.779557882,0.0,0.4,
13,-4.131667,-47.781667,Amazonia,8594572.363685207,0.0,0.4,
14,-4.21,-48.04,Amazonia,1227674.407845668,0.0,0.4,
15,-4.235,-47.828333,Amazonia,6138187.263147103,0.0,0.4,
16,-4.24,-47.77,Amazonia,1227628.1865109887,0.0,0.4,
17,-4.25,-47.78,Amazonia,1227612.7065702358,0.0,0.4,
18,-4.27,-47.21,Amazonia,1227581.6374367264,0.0,0.4,
19,-4.32,-55.96,Amazonia,1227503.327349613,0.0,0.0,
20,-4.51,-47.155,Amazonia,7363184.610505372,0.0,0.4,
21,-4.565,-46.17,Amazonia,2454212.8909041323,0.0,0.4,
22,-4.865,-65.29,Amazonia,2453181.4271978443,0.0,0.0,
23,-4.911667,-48.185,Amazonia,6132570.512052133,0.0,0.4,
24,-5.815,-49.175,Amazonia,4898966.163003038,0.0,0.4,
25,-6.12,-48.495,Amazonia,2448156.5525251282,0.0,0.4,
26,-6.14,-48.511429,Amazonia,9792246.389742514,0.0,0.0,
27,-6.15,-48.48,Amazonia,1224011.2106698146,0.0,0.0,
28,-6.16,-48.48,Amazonia,1223988.7828080591,0.0,0.0,
29,-6.1683330000000005,-48.475,Amazonia,9791775.440952724,0.0,0.0,
30,-6.248846,-48.455769000000004,Amazonia,11014181.33966937,0.0,0.0,
31,-6.575,-51.12,Amazonia,2446051.976102769,0.0,0.0,
32,-6.59,-51.11,Amazonia,1222990.0217208092,0.0,0.0,
33,-6.715,-49.705,Amazonia,3668049.0185790136,0.0,0.0,
34,-6.9464289999999975,-48.675,Amazonia,3666331.9470753632,0.0,0.0,
35,-6.97,-49.02,Amazonia,1222051.5151964268,0.0,0.0,
36,-7.495,-49.265,Amazonia,4882674.770065165,0.0,0.0,
37,-7.855,-55.35,Amazonia,2439325.429698929,0.0,0.0,0.21
38,-7.91,-61.53,Amazonia,1219504.8926490915,0.0,0.0,0.57
39,-8.315,-55.105,Amazonia,3654942.042340084,0.0,0.0,0.53
40,-8.32,-55.12,Amazonia,1218293.8393947924,0.0,0.0,0.53
41,-8.41,-61.615,Amazonia,2436039.703595526,0.0,0.6,0.11
42,-8.433095,-61.645952,Amazonia,24359201.28674258,0.0,0.6,0.13
43,-8.435,-51.27,Amazonia,4871772.877210672,0.0,0.0,
44,-8.51,-51.005,Amazonia,2435423.965541747,0.0,0.0,
45,-8.561667,-61.478333,Amazonia,15828299.174912276,0.0,0.0,0.23
46,-8.575,-61.44,Amazonia,2435019.8456855174,0.0,0.0,0.24
47,-8.61,-61.325,Amazonia,7304402.898287457,0.0,0.0,0.41
48,-8.61,-64.02,Amazonia,1217400.4951104738,0.0,0.0,0.48
49,-8.64,-50.91,Amazonia,1217306.3432856302,0.0,0.0,
50,-8.65,-64.025,Amazonia,2434549.7739752275,0.0,0.0,0.51
