,latitude,longitude,bioma,area(m²),diasemchuva,precipitacao,riscofogo
0,-3.0,-40.9,Caatinga,3687796.1121003977,0.0,7.8,
1,-3.1510000000000002,-41.383,Caatinga,9832776.770910906,0.0,0.0,
2,-3.47,-39.26,Caatinga,1228710.7591051778,0.0,0.0,
3,-3.48,-39.25,Caatinga,1228698.0841728544,0.0,9.8,
4,-3.545,-39.68,Caatinga,2457229.6086476143,0.0,0.1,
5,-3.56,-39.15,Caatinga,1228595.3728698627,0.0,0.0,
6,-3.56,-39.12,Caatinga,1228595.372870958,0.0,0.0,
7,-3.57,-39.16,Caatinga,1228582.3699810929,0.0,0.0,
8,-3.57,-39.11,Caatinga,1228582.3699799979,0.0,0.0,
9,-3.62,-40.665,Caatinga,2457033.617952052,0.0,0.0,
10,-3.62,-39.99,Caatinga,1228516.8089760258,0.0,5.9,
11,-3.63,-39.975,Caatinga,2457007.1749277273,0.0,5.9,
12,-3.6436669999999998,-40.644333,Caatinga,11056372.93675957,0.0,1.9,
13,-3.66,-40.67,Caatinga,1228463.7043138426,0.0,0.0,
14,-3.715,-40.845,Caatinga,3685175.9616663237,0.0,4.9,
15,-3.74,-39.95,Caatinga,3685067.238354213,0.0,1.1,
16,-3.76,-39.955,Caatinga,2456656.7844708315,0.0,6.5,
17,-3.885,-40.83,Caatinga,4912616.497421957,0.0,0.2,
18,-4.025,-41.177,Caatinga,14735558.230896505,0.0,0.0,
19,-4.03,-41.17,Caatinga,1227944.8526971021,0.0,0.0,
20,-4.03,-39.525,Caatinga,2455889.7053942042,0.0,0.0,
21,-4.04,-41.17,Caatinga,1227930.1375609022,0.0,0.0,
22,-4.061667,-40.325,Caatinga,6139517.741680535,0.0,0.0,
23,-4.06,-40.29,Caatinga,1227900.5980244507,0.0,0.0,
24,-4.28,-40.37,Caatinga,1227566.04824616,0.0,0.4,
25,-4.295,-40.36,Caatinga,2455085.1832684423,0.0,0.0,
26,-4.37,-38.275,Caatinga,2454848.213865637,0.0,0.0,
27,-4.5,-38.25,Caatinga,1227213.8738498958,0.0,0.0,
28,-4.51,-38.24,Caatinga,1227197.4472209064,0.0,0.0,
29,-4.605,-38.495,Caatinga,3681127.1172731286,0.0,0.1,
30,-4.645,-40.4625,Caatinga,6134886.004757842,0.0,0.0,
31,-4.665,-38.295,Caatinga,7361594.848078692,0.0,0.0,
32,-4.73,-39.47,Caatinga,1226826.8512942996,0.0,0.3,
33,-4.74,-39.44,Caatinga,1226809.5874229404,0.0,0.0,
34,-4.774333,-41.181667,Caatinga,17174518.927491333,0.0,0.0,
35,-4.84,-38.45,Caatinga,1226634.9469308008,0.0,16.9,
36,-4.843,-38.441,Caatinga,14719530.787326135,0.0,16.9,
37,-5.08,-38.52,Caatinga,1226200.962174175,0.0,1.0,
38,-5.09,-38.53,Caatinga,1226182.424649352,0.0,1.0,
39,-5.09,-38.51,Caatinga,1226182.4246482565,0.0,1.0,
40,-5.12,-38.34,Caatinga,1226126.5937734984,0.0,0.0,
41,-5.12,-37.98,Caatinga,1226126.5937745937,0.0,0.0,
42,-5.13,-38.33,Caatinga,1226107.910720261,0.0,0.0,
43,-5.119706,-38.008528999999996,Caatinga,13487448.18049189,0.0,0.0,
44,-5.195,-38.525,Caatinga,3677966.2075225054,0.0,0.0,
45,-5.19625,-40.54875,Caatinga,4903923.380514984,0.0,0.0,
46,-5.2,-37.72,Caatinga,1225976.1107012734,0.0,8.6,
47,-5.2,-37.69,Caatinga,1225976.1107023687,0.0,8.6,
48,-5.21,-38.53,Caatinga,1225957.1366120179,0.0,0.0,
49,-5.21,-38.505,Caatinga,2451914.2732218457,0.0,0.0,
50,-5.21,-37.71,Caatinga,1225957.1366120179,0.0,8.6,
51,-5.22,-37.68,Caatinga,3677814.342055208,0.0,8.6,
52,-5.22,-38.54,Caatinga,1225938.1261455878,0.0,0.0,
53,-5.24,-37.1,Caatinga,1225899.9960801078,0.0,0.0,
54,-5.245,-37.06,Caatinga,2451780.872568832,0.0,0.7,
55,-5.255,-37.085,Caatinga,3677623.47348776,0.0,0.0,
56,-5.26,-37.1,Caatinga,1225861.7205135953,0.0,0.0,
57,-5.275,-37.07,Caatinga,2451665.8276117225,0.0,0.0,
58,-5.33,-35.59,Caatinga,1225726.6102319404,0.0,0.0,
59,-5.365,-39.09,Caatinga,2451316.764397621,0.0,0.0,
60,-5.37,-37.04,Caatinga,1225648.6041619754,0.0,0.0,
61,-5.376429,-39.115,Caatinga,3676906.6275940943,0.0,0.0,
62,-5.38,-37.05,Caatinga,1225629.0117155118,0.0,0.0,
63,-5.379,-36.911,Caatinga,6128164.6146578025,0.0,0.0,
