,latitude,longitude,bioma,area(m²),diasemchuva,precipitacao,riscofogo
0,-2.765,-43.635,Cerrado,4918049.905286527,0.0,0.0,0.73
1,-2.806429,-42.715,Cerrado,3688410.394146063,0.0,0.0,1.0
2,-2.825,-43.275,Cerrado,3688348.742221269,0.0,0.0,0.65
3,-2.85,-43.165,Cerrado,4917701.662453126,0.0,0.0,0.63
4,-2.88,-43.29,Cerrado,1229394.0701296707,0.0,0.0,1.0
5,-2.995,-43.25,Cerrado,2458541.6668533087,0.0,0.0,0.64
6,-3.01,-43.62,Cerrado,1229254.4087910547,0.0,0.0,0.75
7,-3.0264290000000003,-43.635,Cerrado,3687708.161666569,0.0,0.0,0.75
8,-3.04,-43.27,Cerrado,1229221.304349522,0.0,0.0,0.67
9,-3.13,-43.145,Cerrado,2458240.0452099782,0.0,0.0,0.63
10,-3.145,-43.28,Cerrado,2458205.70141224,0.0,0.0,0.64
11,-3.165,-43.165,Cerrado,3687245.272590178,0.0,0.0,0.69
12,-3.17,-43.885,Cerrado,2458148.121544866,0.0,0.0,
13,-3.18,-43.9,Cerrado,1229062.4791936495,0.0,0.0,0.58
14,-3.18,-43.16,Cerrado,1229062.4791925545,0.0,0.0,0.63
15,-3.19,-43.89,Cerrado,1229050.861161023,0.0,0.0,
16,-3.205,-43.87,Cerrado,2458066.7224372663,0.0,0.0,
17,-3.265,-42.895,Cerrado,4915850.238364077,0.0,0.0,
18,-3.28,-42.98,Cerrado,1228944.6587248042,0.0,0.0,
19,-3.29,-42.97,Cerrado,1228932.6762183616,0.0,0.0,
20,-3.335,-44.205,Cerrado,4915513.1974793095,0.0,0.0,
21,-3.347,-43.235,Cerrado,7373196.698478381,0.0,0.0,0.82
22,-3.35,-43.23,Cerrado,1228860.0158242327,0.0,0.0,0.82
23,-3.36,-43.23,Cerrado,1228847.7782033149,0.0,0.0,0.82
24,-3.42,-44.225,Cerrado,2457547.1742972443,0.0,0.0,
25,-3.43,-44.43,Cerrado,1228761.0944241812,0.0,2.4,
26,-3.435,-44.318333,Cerrado,6143780.4137851475,0.0,0.0,
27,-3.43,-43.1,Cerrado,1228761.0944252766,0.0,0.0,
28,-3.4375,-44.46,Cerrado,7372491.318657509,0.0,0.0,
29,-3.475,-44.290714,Cerrado,4914830.361490578,0.0,0.0,
30,-3.47,-43.27,Cerrado,1228710.7591051778,0.0,0.0,0.78
31,-3.485,-43.2,Cerrado,2457383.456969399,0.0,0.0,0.78
32,-3.5464290000000003,-44.370714,Cerrado,6143067.5566131575,0.0,0.0,
33,-3.565,-44.225,Cerrado,3685773.1157186283,0.0,0.0,
34,-3.56,-43.77,Cerrado,1228595.372870958,0.0,0.0,0.69
35,-3.57,-43.76,Cerrado,1228582.3699799979,0.0,0.0,0.69
36,-3.57,-43.035,Cerrado,2457164.7399643767,0.0,0.0,
37,-3.595,-42.93,Cerrado,2457099.397579416,0.0,0.0,
38,-3.675,-43.06,Cerrado,2456887.2704332857,0.0,0.0,
39,-3.725,-44.61,Cerrado,2456752.322683004,0.0,0.0,
