,latitude,longitude,bioma,area(m²),diasemchuva,precipitacao,riscofogo
0,-17.355,-56.415,Pantanal,3528844.007356442,0.0,0.0,0.28
1,-18.665,-57.495,Pantanal,4671078.507239648,0.0,2.5,
2,-19.23,-57.205,Pantanal,2327834.839853541,0.0,0.0,0.07
3,-19.496429,-57.935,Pantanal,3486181.589894568,0.0,0.0,0.31
4,-19.63,-57.8,Pantanal,1161122.7904870429,0.0,0.0,0.36
5,-19.636111,-57.869443999999994,Pantanal,4644279.420358695,0.0,0.0,0.33
6,-19.64,-57.835,Pantanal,2322104.419915165,0.0,0.0,0.33
7,-19.64,-57.785,Pantanal,2322104.4199129744,0.0,0.0,0.47
8,-19.65,-57.85,Pantanal,1160981.5945810378,0.0,0.0,0.33
9,-20.88,-57.88,Pantanal,1152030.7305946029,0.0,1.1,0.15
